scenario,temporal_mode,spatial_mode,scale,dod,replica,customers,dynamic_customers,min_reachability_slack,path
US,uniform,stationary,50,0.95,4,50,47,9,data/US/n50/dod95/replica4.json
US,uniform,stationary,50,0.95,5,50,47,7,data/US/n50/dod95/replica5.json
US,uniform,stationary,50,0.95,6,50,47,18,data/US/n50/dod95/replica6.json
US,uniform,stationary,50,0.95,7,50,47,50,data/US/n50/dod95/replica7.json
US,uniform,stationary,50,0.95,8,50,47,33,data/US/n50/dod95/replica8.json
US,uniform,stationary,50,0.95,9,50,47,22,data/US/n50/dod95/replica9.json
US,uniform,stationary,100,0.0,0,100,0,85,data/US/n100/dod0/replica0.json
US,uniform,stationary,100,0.0,1,100,0,41,data/US/n100/dod0/replica1.json
US,uniform,stationary,100,0.0,2,100,0,132,data/US/n100/dod0/replica2.json
US,uniform,stationary,100,0.0,3,100,0,73,data/US/n100/dod0/replica3.json
US,uniform,stationary,100,0.0,4,100,0,55,data/US/n100/dod0/replica4.json
US,uniform,stationary,100,0.0,5,100,0,34,data/US/n100/dod0/replica5.json
US,uniform,stationary,100,0.0,6,100,0,112,data/US/n100/dod0/replica6.json
US,uniform,stationary,100,0.0,7,100,0,93,data/US/n100/dod0/replica7.json
US,uniform,stationary,100,0.0,8,100,0,149,data/US/n100/dod0/replica8.json
US,uniform,stationary,100,0.0,9,100,0,112,data/US/n100/dod0/replica9.json
US,uniform,stationary,100,0.2,0,100,20,36,data/US/n100/dod20/replica0.json
US,uniform,stationary,100,0.2,1,100,20,34,data/US/n100/dod20/replica1.json
US,uniform,stationary,100,0.2,2,100,20,31,data/US/n100/dod20/replica2.json
US,uniform,stationary,100,0.2,3,100,20,44,data/US/n100/dod20/replica3.json
US,uniform,stationary,100,0.2,4,100,20,30,data/US/n100/dod20/replica4.json
US,uniform,stationary,100,0.2,5,100,20,31,data/US/n100/dod20/replica5.json
US,uniform,stationary,100,0.2,6,100,20,23,data/US/n100/dod20/replica6.json
US,uniform,stationary,100,0.2,7,100,20,47,data/US/n100/dod20/replica7.json
US,uniform,stationary,100,0.2,8,100,20,41,data/US/n100/dod20/replica8.json
US,uniform,stationary,100,0.2,9,100,20,36,data/US/n100/dod20/replica9.json
US,uniform,stationary,100,0.5,0,100,50,34,data/US/n100/dod50/replica0.json
US,uniform,stationary,100,0.5,1,100,50,41,data/US/n100/dod50/replica1.json
US,uniform,stationary,100,0.5,2,100,50,26,data/US/n100/dod50/replica2.json
US,uniform,stationary,100,0.5,3,100,50,41,data/US/n100/dod50/replica3.json
US,uniform,stationary,100,0.5,4,100,50,29,data/US/n100/dod50/replica4.json
US,uniform,stationary,100,0.5,5,100,50,31,data/US/n100/dod50/replica5.json
US,uniform,stationary,100,0.5,6,100,50,41,data/US/n100/dod50/replica6.json
US,uniform,stationary,100,0.5,7,100,50,33,data/US/n100/dod50/replica7.json
US,uniform,stationary,100,0.5,8,100,50,41,data/US/n100/dod50/replica8.json
US,uniform,stationary,100,0.5,9,100,50,29,data/US/n100/dod50/replica9.json
US,uniform,stationary,100,0.8,0,100,80,20,data/US/n100/dod80/replica0.json
US,uniform,stationary,100,0.8,1,100,80,25,data/US/n100/dod80/replica1.json
US,uniform,stationary,100,0.8,2,100,80,15,data/US/n100/dod80/replica2.json
US,uniform,stationary,100,0.8,3,100,80,20,data/US/n100/dod80/replica3.json
US,uniform,stationary,100,0.8,4,100,80,20,data/US/n100/dod80/replica4.json
US,uniform,stationary,100,0.8,5,100,80,14,data/US/n100/dod80/replica5.json
US,uniform,stationary,100,0.8,6,100,80,25,data/US/n100/dod80/replica6.json
US,uniform,stationary,100,0.8,7,100,80,8,data/US/n100/dod80/replica7.json
US,uniform,stationary,100,0.8,8,100,80,6,data/US/n100/dod80/replica8.json
US,uniform,stationary,100,0.8,9,100,80,22,data/US/n100/dod80/replica9.json
US,uniform,stationary,100,0.9,0,100,90,23,data/US/n100/dod90/replica0.json
US,uniform,stationary,100,0.9,1,100,90,26,data/US/n100/dod90/replica1.json
US,uniform,stationary,100,0.9,2,100,90,6,data/US/n100/dod90/replica2.json
US,uniform,stationary,100,0.9,3,100,90,13,data/US/n100/dod90/replica3.json
US,uniform,stationary,100,0.9,4,100,90,25,data/US/n100/dod90/replica4.json
US,uniform,stationary,100,0.9,5,100,90,10,data/US/n100/dod90/replica5.json
US,uniform,stationary,100,0.9,6,100,90,5,data/US/n100/dod90/replica6.json
US,uniform,stationary,100,0.9,7,100,90,19,data/US/n100/dod90/replica7.json
US,uniform,stationary,100,0.9,8,100,90,24,data/US/n100/dod90/replica8.json
US,uniform,stationary,100,0.9,9,100,90,8,data/US/n100/dod90/replica9.json
US,uniform,stationary,100,0.95,0,100,95,16,data/US/n100/dod95/replica0.json
US,uniform,stationary,100,0.95,1,100,95,0,data/US/n100/dod95/replica1.json
US,uniform,stationary,100,0.95,2,100,95,3,data/US/n100/dod95/replica2.json
US,uniform,stationary,100,0.95,3,100,95,26,data/US/n100/dod95/replica3.json
US,uniform,stationary,100,0.95,4,100,95,24,data/US/n100/dod95/replica4.json
US,uniform,stationary,100,0.95,5,100,95,16,data/US/n100/dod95/replica5.json
US,uniform,stationary,100,0.95,6,100,95,17,data/US/n100/dod95/replica6.json
US,uniform,stationary,100,0.95,7,100,95,22,data/US/n100/dod95/replica7.json
US,uniform,stationary,100,0.95,8,100,95,29,data/US/n100/dod95/replica8.json
US,uniform,stationary,100,0.95,9,100,95,18,data/US/n100/dod95/replica9.json
US,uniform,stationary,200,0.0,0,200,0,37,data/US/n200/dod0/replica0.json
US,uniform,stationary,200,0.0,1,200,0,91,data/US/n200/dod0/replica1.json
US,uniform,stationary,200,0.0,2,200,0,34,data/US/n200/dod0/replica2.json
US,uniform,stationary,200,0.0,3,200,0,62,data/US/n200/dod0/replica3.json
US,uniform,stationary,200,0.0,4,200,0,30,data/US/n200/dod0/replica4.json
US,uniform,stationary,200,0.0,5,200,0,63,data/US/n200/dod0/replica5.json
US,uniform,stationary,200,0.0,6,200,0,12,data/US/n200/dod0/replica6.json
US,uniform,stationary,200,0.0,7,200,0,47,data/US/n200/dod0/replica7.json
US,uniform,stationary,200,0.0,8,200,0,62,data/US/n200/dod0/replica8.json
US,uniform,stationary,200,0.0,9,200,0,60,data/US/n200/dod0/replica9.json
US,uniform,stationary,200,0.2,0,200,40,16,data/US/n200/dod20/replica0.json
US,uniform,stationary,200,0.2,1,200,40,0,data/US/n200/dod20/replica1.json
US,uniform,stationary,200,0.2,2,200,40,19,data/US/n200/dod20/replica2.json
US,uniform,stationary,200,0.2,3,200,40,18,data/US/n200/dod20/replica3.json
US,uniform,stationary,200,0.2,4,200,40,5,data/US/n200/dod20/replica4.json
US,uniform,stationary,200,0.2,5,200,40,24,data/US/n200/dod20/replica5.json
US,uniform,stationary,200,0.2,6,200,40,23,data/US/n200/dod20/replica6.json
US,uniform,stationary,200,0.2,7,200,40,22,data/US/n200/dod20/replica7.json
US,uniform,stationary,200,0.2,8,200,40,3,data/US/n200/dod20/replica8.json
US,uniform,stationary,200,0.2,9,200,40,11,data/US/n200/dod20/replica9.json
US,uniform,stationary,200,0.5,0,200,100,10,data/US/n200/dod50/replica0.json
US,uniform,stationary,200,0.5,1,200,100,6,data/US/n200/dod50/replica1.json
US,uniform,stationary,200,0.5,2,200,100,22,data/US/n200/dod50/replica2.json
US,uniform,stationary,200,0.5,3,200,100,6,data/US/n200/dod50/replica3.json
US,uniform,stationary,200,0.5,4,200,100,8,data/US/n200/dod50/replica4.json
US,uniform,stationary,200,0.5,5,200,100,3,data/US/n200/dod50/replica5.json
US,uniform,stationary,200,0.5,6,200,100,10,data/US/n200/dod50/replica6.json
US,uniform,stationary,200,0.5,7,200,100,9,data/US/n200/dod50/replica7.json
US,uniform,stationary,200,0.5,8,200,100,11,data/US/n200/dod50/replica8.json
US,uniform,stationary,200,0.5,9,200,100,4,data/US/n200/dod50/replica9.json
US,uniform,stationary,200,0.8,0,200,160,2,data/US/n200/dod80/replica0.json
US,uniform,stationary,200,0.8,1,200,160,1,data/US/n200/dod80/replica1.json
US,uniform,stationary,200,0.8,2,200,160,3,data/US/n200/dod80/replica2.json
US,uniform,stationary,200,0.8,3,200,160,10,data/US/n200/dod80/replica3.json
US,uniform,stationary,200,0.8,4,200,160,7,data/US/n200/dod80/replica4.json
US,uniform,stationary,200,0.8,5,200,160,10,data/US/n200/dod80/replica5.json
US,uniform,stationary,200,0.8,6,200,160,3,data/US/n200/dod80/replica6.json
US,uniform,stationary,200,0.8,7,200,160,16,data/US/n200/dod80/replica7.json
US,uniform,stationary,200,0.8,8,200,160,8,data/US/n200/dod80/replica8.json
US,uniform,stationary,200,0.8,9,200,160,1,data/US/n200/dod80/replica9.json
US,uniform,stationary,200,0.9,0,200,180,5,data/US/n200/dod90/replica0.json
US,uniform,stationary,200,0.9,1,200,180,4,data/US/n200/dod90/replica1.json
US,uniform,stationary,200,0.9,2,200,180,6,data/US/n200/dod90/replica2.json
US,uniform,stationary,200,0.9,3,200,180,4,data/US/n200/dod90/replica3.json
US,uniform,stationary,200,0.9,4,200,180,0,data/US/n200/dod90/replica4.json
US,uniform,stationary,200,0.9,5,200,180,0,data/US/n200/dod90/replica5.json
US,uniform,stationary,200,0.9,6,200,180,18,data/US/n200/dod90/replica6.json
US,uniform,stationary,200,0.9,7,200,180,5,data/US/n200/dod90/replica7.json
US,uniform,stationary,200,0.9,8,200,180,9,data/US/n200/dod90/replica8.json
US,uniform,stationary,200,0.9,9,200,180,8,data/US/n200/dod90/replica9.json
US,uniform,stationary,200,0.95,0,200,190,2,data/US/n200/dod95/replica0.json
US,uniform,stationary,200,0.95,1,200,190,2,data/US/n200/dod95/replica1.json
US,uniform,stationary,200,0.95,2,200,190,11,data/US/n200/dod95/replica2.json
US,uniform,stationary,200,0.95,3,200,190,1,data/US/n200/dod95/replica3.json
US,uniform,stationary,200,0.95,4,200,190,15,data/US/n200/dod95/replica4.json
US,uniform,stationary,200,0.95,5,200,190,6,data/US/n200/dod95/replica5.json
US,uniform,stationary,200,0.95,6,200,190,3,data/US/n200/dod95/replica6.json
US,uniform,stationary,200,0.95,7,200,190,18,data/US/n200/dod95/replica7.json
US,uniform,stationary,200,0.95,8,200,190,4,data/US/n200/dod95/replica8.json
US,uniform,stationary,200,0.95,9,200,190,20,data/US/n200/dod95/replica9.json
US,uniform,stationary,500,0.0,0,500,0,31,data/US/n500/dod0/replica0.json
US,uniform,stationary,500,0.0,1,500,0,18,data/US/n500/dod0/replica1.json
US,uniform,stationary,500,0.0,2,500,0,27,data/US/n500/dod0/replica2.json
US,uniform,stationary,500,0.0,3,500,0,40,data/US/n500/dod0/replica3.json
US,uniform,stationary,500,0.0,4,500,0,45,data/US/n500/dod0/replica4.json
US,uniform,stationary,500,0.0,5,500,0,51,data/US/n500/dod0/replica5.json
US,uniform,stationary,500,0.0,6,500,0,52,data/US/n500/dod0/replica6.json
US,uniform,stationary,500,0.0,7,500,0,51,data/US/n500/dod0/replica7.json
US,uniform,stationary,500,0.0,8,500,0,34,data/US/n500/dod0/replica8.json
US,uniform,stationary,500,0.0,9,500,0,41,data/US/n500/dod0/replica9.json
US,uniform,stationary,500,0.2,0,500,100,12,data/US/n500/dod20/replica0.json
US,uniform,stationary,500,0.2,1,500,100,6,data/US/n500/dod20/replica1.json
US,uniform,stationary,500,0.2,2,500,100,28,data/US/n500/dod20/replica2.json
US,uniform,stationary,500,0.2,3,500,100,15,data/US/n500/dod20/replica3.json
US,uniform,stationary,500,0.2,4,500,100,5,data/US/n500/dod20/replica4.json
US,uniform,stationary,500,0.2,5,500,100,8,data/US/n500/dod20/replica5.json
US,uniform,stationary,500,0.2,6,500,100,9,data/US/n500/dod20/replica6.json
US,uniform,stationary,500,0.2,7,500,100,7,data/US/n500/dod20/replica7.json
US,uniform,stationary,500,0.2,8,500,100,1,data/US/n500/dod20/replica8.json
US,uniform,stationary,500,0.2,9,500,100,18,data/US/n500/dod20/replica9.json
US,uniform,stationary,500,0.5,0,500,250,2,data/US/n500/dod50/replica0.json
US,uniform,stationary,500,0.5,1,500,250,6,data/US/n500/dod50/replica1.json
US,uniform,stationary,500,0.5,2,500,250,0,data/US/n500/dod50/replica2.json
US,uniform,stationary,500,0.5,3,500,250,3,data/US/n500/dod50/replica3.json
US,uniform,stationary,500,0.5,4,500,250,2,data/US/n500/dod50/replica4.json
US,uniform,stationary,500,0.5,5,500,250,3,data/US/n500/dod50/replica5.json
US,uniform,stationary,500,0.5,6,500,250,2,data/US/n500/dod50/replica6.json
US,uniform,stationary,500,0.5,7,500,250,3,data/US/n500/dod50/replica7.json
US,uniform,stationary,500,0.5,8,500,250,1,data/US/n500/dod50/replica8.json
US,uniform,stationary,500,0.5,9,500,250,2,data/US/n500/dod50/replica9.json
US,uniform,stationary,500,0.8,0,500,400,1,data/US/n500/dod80/replica0.json
US,uniform,stationary,500,0.8,1,500,400,2,data/US/n500/dod80/replica1.json
US,uniform,stationary,500,0.8,2,500,400,0,data/US/n500/dod80/replica2.json
US,uniform,stationary,500,0.8,3,500,400,4,data/US/n500/dod80/replica3.json
US,uniform,stationary,500,0.8,4,500,400,1,data/US/n500/dod80/replica4.json
US,uniform,stationary,500,0.8,5,500,400,2,data/US/n500/dod80/replica5.json
US,uniform,stationary,500,0.8,6,500,400,1,data/US/n500/dod80/replica6.json
US,uniform,stationary,500,0.8,7,500,400,3,data/US/n500/dod80/replica7.json
US,uniform,stationary,500,0.8,8,500,400,0,data/US/n500/dod80/replica8.json
US,uniform,stationary,500,0.8,9,500,400,8,data/US/n500/dod80/replica9.json
US,uniform,stationary,500,0.9,0,500,450,3,data/US/n500/dod90/replica0.json
US,uniform,stationary,500,0.9,1,500,450,3,data/US/n500/dod90/replica1.json
US,uniform,stationary,500,0.9,2,500,450,0,data/US/n500/dod90/replica2.json
US,uniform,stationary,500,0.9,3,500,450,2,data/US/n500/dod90/replica3.json
US,uniform,stationary,500,0.9,4,500,450,0,data/US/n500/dod90/replica4.json
US,uniform,stationary,500,0.9,5,500,450,1,data/US/n500/dod90/replica5.json
US,uniform,stationary,500,0.9,6,500,450,5,data/US/n500/dod90/replica6.json
US,uniform,stationary,500,0.9,7,500,450,3,data/US/n500/dod90/replica7.json
US,uniform,stationary,500,0.9,8,500,450,0,data/US/n500/dod90/replica8.json
US,uniform,stationary,500,0.9,9,500,450,0,data/US/n500/dod90/replica9.json
US,uniform,stationary,500,0.95,0,500,475,2,data/US/n500/dod95/replica0.json
US,uniform,stationary,500,0.95,1,500,475,4,data/US/n500/dod95/replica1.json
US,uniform,stationary,500,0.95,2,500,475,3,data/US/n500/dod95/replica2.json
US,uniform,stationary,500,0.95,3,500,475,7,data/US/n500/dod95/replica3.json
US,uniform,stationary,500,0.95,4,500,475,0,data/US/n500/dod95/replica4.json
US,uniform,stationary,500,0.95,5,500,475,2,data/US/n500/dod95/replica5.json
US,uniform,stationary,500,0.95,6,500,475,0,data/US/n500/dod95/replica6.json
US,uniform,stationary,500,0.95,7,500,475,3,data/US/n500/dod95/replica7.json
US,uniform,stationary,500,0.95,8,500,475,0,data/US/n500/dod95/replica8.json
US,uniform,stationary,500,0.95,9,500,475,5,data/US/n500/dod95/replica9.json
UV,uniform,time_varying,20,0.0,0,20,0,178,data/UV/n20/dod0/replica0.json
UV,uniform,time_varying,20,0.0,1,20,0,153,data/UV/n20/dod0/replica1.json
UV,uniform,time_varying,20,0.0,2,20,0,268,data/UV/n20/dod0/replica2.json
UV,uniform,time_varying,20,0.0,3,20,0,104,data/UV/n20/dod0/replica3.json
UV,uniform,time_varying,20,0.0,4,20,0,68,data/UV/n20/dod0/replica4.json
UV,uniform,time_varying,20,0.0,5,20,0,172,data/UV/n20/dod0/replica5.json
UV,uniform,time_varying,20,0.0,6,20,0,71,data/UV/n20/dod0/replica6.json
UV,uniform,time_varying,20,0.0,7,20,0,124,data/UV/n20/dod0/replica7.json
UV,uniform,time_varying,20,0.0,8,20,0,84,data/UV/n20/dod0/replica8.json
UV,uniform,time_varying,20,0.0,9,20,0,100,data/UV/n20/dod0/replica9.json
UV,uniform,time_varying,20,0.2,0,20,4,56,data/UV/n20/dod20/replica0.json
UV,uniform,time_varying,20,0.2,1,20,4,68,data/UV/n20/dod20/replica1.json
UV,uniform,time_varying,20,0.2,2,20,4,52,data/UV/n20/dod20/replica2.json
UV,uniform,time_varying,20,0.2,3,20,4,66,data/UV/n20/dod20/replica3.json
UV,uniform,time_varying,20,0.2,4,20,4,98,data/UV/n20/dod20/replica4.json
UV,uniform,time_varying,20,0.2,5,20,4,80,data/UV/n20/dod20/replica5.json
UV,uniform,time_varying,20,0.2,6,20,4,26,data/UV/n20/dod20/replica6.json
UV,uniform,time_varying,20,0.2,7,20,4,70,data/UV/n20/dod20/replica7.json
UV,uniform,time_varying,20,0.2,8,20,4,58,data/UV/n20/dod20/replica8.json
UV,uniform,time_varying,20,0.2,9,20,4,26,data/UV/n20/dod20/replica9.json
UV,uniform,time_varying,20,0.5,0,20,10,44,data/UV/n20/dod50/replica0.json
UV,uniform,time_varying,20,0.5,1,20,10,31,data/UV/n20/dod50/replica1.json
UV,uniform,time_varying,20,0.5,2,20,10,66,data/UV/n20/dod50/replica2.json
UV,uniform,time_varying,20,0.5,3,20,10,34,data/UV/n20/dod50/replica3.json
UV,uniform,time_varying,20,0.5,4,20,10,56,data/UV/n20/dod50/replica4.json
UV,uniform,time_varying,20,0.5,5,20,10,33,data/UV/n20/dod50/replica5.json
UV,uniform,time_varying,20,0.5,6,20,10,56,data/UV/n20/dod50/replica6.json
UV,uniform,time_varying,20,0.5,7,20,10,53,data/UV/n20/dod50/replica7.json
UV,uniform,time_varying,20,0.5,8,20,10,31,data/UV/n20/dod50/replica8.json
UV,uniform,time_varying,20,0.5,9,20,10,31,data/UV/n20/dod50/replica9.json
UV,uniform,time_varying,20,0.8,0,20,16,20,data/UV/n20/dod80/replica0.json
UV,uniform,time_varying,20,0.8,1,20,16,13,data/UV/n20/dod80/replica1.json
UV,uniform,time_varying,20,0.8,2,20,16,56,data/UV/n20/dod80/replica2.json
UV,uniform,time_varying,20,0.8,3,20,16,52,data/UV/n20/dod80/replica3.json
UV,uniform,time_varying,20,0.8,4,20,16,39,data/UV/n20/dod80/replica4.json
UV,uniform,time_varying,20,0.8,5,20,16,81,data/UV/n20/dod80/replica5.json
